Timestamp,Your Sex?,Your Matric (grade 12) Average/ GPA (in %),What year were you in last year (2023) ?,What faculty does your degree fall under?,Your 2023 academic year average/GPA in % (Ignore if you are 2024 1st year student),Your Accommodation Status Last Year (2023),Monthly Allowance in 2023,Were you on scholarship/bursary in 2023?,Additional amount of studying (in hrs) per week,How often do you go out partying/socialising during the week? ,"On a night out, how many alcoholic drinks do you consume?","How many classes do you miss per week due to alcohol reasons, (i.e: being hungover or too tired?)",How many modules have you failed thus far into your studies?,Are you currently in a romantic relationship?,Do your parents approve alcohol consumption?,How strong is your relationship with your parent/s?
2024/03/07 10:28:49 pm EET,Female,95.0,2nd Year,Engineering,87.6,Private accommodation/ stay with family/friends,R 8000+,No,8+,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/07 10:31:42 pm EET,Female,75.0,1st Year,Economic & Management Sciences,60.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,Only weekends,1-3,0,0,Yes,No,Close
2024/03/07 10:31:47 pm EET,Female,80.0,4th Year,Economic & Management Sciences,55.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,1,1-3,1,4+,No,Yes,Very close
2024/03/07 10:46:19 pm EET,Female,73.0,2nd Year,Science,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,0,0,0,4+,No,Yes,Very close
2024/03/07 10:53:04 pm EET,Male,86.0,1st Year,Science,73.0,Non-private accommodation ie. Res,R 7001 - R 8000,No,8+,2,3-5,4+,0,No,Yes,Very close
2024/03/07 10:53:04 pm EET,Male,84.0,1st Year,Science,76.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,3-5,2,0,No,Yes,Very close
2024/03/07 10:53:09 pm EET,Female,82.0,2nd Year,Arts & Social Sciences,68.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,8+,1,3,No,Yes,Very close
2024/03/07 11:13:49 pm EET,Male,73.0,2nd Year,Economic & Management Sciences,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,1,1-3,1,3,No,No,Close
2024/03/07 11:18:02 pm EET,Female,75.0,1st Year,AgriSciences,63.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,1-3,2,0,Yes,Yes,Close
2024/03/07 11:19:26 pm EET,Male,74.0,1st Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,1,8+,1,0,No,Yes,Very close
2024/03/07 11:19:53 pm EET,Male,83.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 8000+,No,3-5,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/07 11:19:54 pm EET,Male,34.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,5-8,1,0,No,Yes,Very close
2024/03/07 11:20:06 pm EET,Male,68.0,1st Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,3,8+,4+,1,No,No,Very close
2024/03/07 11:20:18 pm EET,Male,78.0,1st Year,Science,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,3,3-5,4+,0,No,No,Very close
2024/03/07 11:20:21 pm EET,Male,74.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,0,2,5-8,3,0,No,Yes,Very close
2024/03/07 11:20:23 pm EET,Male,79.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,3,8+,0,0,No,Yes,Very close
2024/03/07 11:20:59 pm EET,Male,77.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,1,8+,2,0,No,Yes,Close
2024/03/07 11:21:23 pm EET,Female,79.0,1st Year,Economic & Management Sciences,71.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,2,5-8,0,0,Yes,No,Fair
2024/03/07 11:22:41 pm EET,Male,71.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",3-5,2,8+,1,0,Yes,Yes,Very close
2024/03/07 11:23:21 pm EET,Male,78.0,1st Year,Economic & Management Sciences,73.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,3,8+,2,2,No,Yes,Fair
2024/03/07 11:25:48 pm EET,Male,86.4,1st Year,Engineering,57.0,Non-private accommodation ie. Res,R 4001- R 5000,No,1-3,2,8+,2,0,Yes,Yes,Very close
2024/03/07 11:27:13 pm EET,Male,73.0,,Science,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,Only weekends,8+,0,0,No,Yes,Very close
2024/03/07 11:30:11 pm EET,Male,83.0,,Engineering,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,5-8,1,0,No,Yes,Very close
2024/03/07 11:30:21 pm EET,Male,82.0,Postgraduate,Engineering,62.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,1,8+,0,1,Yes,Yes,Very close
2024/03/07 11:30:49 pm EET,Male,,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 8000+,No,,Only weekends,5-8,2,0,Yes,Yes,Very close
2024/03/07 11:31:34 pm EET,Male,60.0,1st Year,Economic & Management Sciences,75.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,1,5-8,0,0,Yes,Yes,Very close
2024/03/07 11:35:55 pm EET,Male,84.0,1st Year,Science,69.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,"Yes (NSFAS, etc...)",5-8,2,3-5,0,0,No,Yes,Very close
2024/03/07 11:37:28 pm EET,Male,85.0,,Engineering,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,3-5,1,0,Yes,No,Fair
2024/03/07 11:37:29 pm EET,Male,75.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,4+,5-8,4+,0,Yes,Yes,Close
2024/03/07 11:42:16 pm EET,Male,81.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,8+,2,3,Yes,Yes,Very close
2024/03/07 11:43:48 pm EET,Female,85.0,2nd Year,Science,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,8+,1,1-3,1,2,No,Yes,Very close
2024/03/07 11:46:09 pm EET,Male,95.5,Postgraduate,Engineering,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,3,8+,0,0,Yes,Yes,Fair
2024/03/07 11:48:05 pm EET,Male,80.0,,Engineering,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",8+,Only weekends,3-5,0,0,No,Yes,Very close
2024/03/07 11:56:04 pm EET,Male,74.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",1-3,Only weekends,8+,2,0,Yes,Yes,Close
2024/03/07 11:57:33 pm EET,Male,76.0,1st Year,Science,60.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,8+,1,1,No,Yes,Close
2024/03/08 12:00:27 am EET,Male,87.0,1st Year,Economic & Management Sciences,72.0,Non-private accommodation ie. Res,,No,5-8,1,5-8,1,0,No,Yes,Very close
2024/03/08 12:25:41 am EET,Female,68.0,2nd Year,Arts & Social Sciences,69.0,Private accommodation/ stay with family/friends,,No,8+,Only weekends,1-3,0,0,Yes,Yes,Fair
2024/03/08 1:55:49 am EET,Male,74.0,1st Year,Economic & Management Sciences,,Non-private accommodation ie. Res,R 5001 - R 6000,No,3-5,2,5-8,4+,0,No,Yes,Close
2024/03/08 4:50:24 am EET,Male,81.0,,Engineering,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,1,3-5,0,0,No,Yes,Very close
2024/03/08 5:47:58 am EET,Female,65.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,Only weekends,5-8,0,0,Yes,Yes,Very close
2024/03/08 6:30:51 am EET,Male,72.0,3rd Year,Law,68.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,3,5-8,0,0,Yes,Yes,Close
2024/03/08 6:32:27 am EET,Male,76.0,2nd Year,Economic & Management Sciences,64.0,Private accommodation/ stay with family/friends,R 8000+,No,8+,3,5-8,2,1,Yes,Yes,Close
2024/03/08 6:56:49 am EET,Male,75.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,3-5,2,1-3,0,0,No,Yes,Close
2024/03/08 7:08:19 am EET,Female,71.0,1st Year,Education,67.0,Private accommodation/ stay with family/friends,R 4001- R 5000,"Yes (NSFAS, etc...)",5-8,2,5-8,3,1,No,Yes,Very close
2024/03/08 7:18:34 am EET,Female,72.0,1st Year,AgriSciences,77.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,3-5,0,0,Yes,Yes,Very close
2024/03/08 7:28:55 am EET,Male,80.0,,Arts & Social Sciences,,Private accommodation/ stay with family/friends,R 8000+,No,3-5,1,8+,0,0,No,Yes,Close
2024/03/08 7:39:45 am EET,Female,78.0,2nd Year,Arts & Social Sciences,83.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,8+,Only weekends,3-5,0,0,No,Yes,Very close
2024/03/08 8:07:23 am EET,Female,74.0,1st Year,Economic & Management Sciences,,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,5-8,3,3-5,0,0,Yes,Yes,Very close
2024/03/08 8:11:39 am EET,Female,87.0,2nd Year,Science,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,1-3,0,1,Yes,Yes,Very close
2024/03/08 8:27:36 am EET,Female,76.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,5-8,Only weekends,1-3,0,0,No,Yes,Very close
2024/03/08 8:31:40 am EET,Male,76.0,2nd Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,3,5-8,0,2,No,Yes,Very close
2024/03/08 8:34:42 am EET,Female,94.0,2nd Year,Economic & Management Sciences,67.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,Only weekends,1-3,0,1,No,Yes,Very close
2024/03/08 8:35:05 am EET,Female,78.0,1st Year,Engineering,58.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,2,3-5,2,0,No,Yes,Very close
2024/03/08 8:47:37 am EET,Male,65.0,,Economic & Management Sciences,,Private accommodation/ stay with family/friends,,No,1-3,3,5-8,1,0,No,Yes,Very close
2024/03/08 8:58:27 am EET,Female,84.0,2nd Year,Economic & Management Sciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,5-8,3,0,Yes,Yes,Close
2024/03/08 9:12:18 am EET,Female,83.0,,Science,,Private accommodation/ stay with family/friends,R 4001- R 5000,No,8+,1,3-5,0,0,No,Yes,Very close
2024/03/08 9:15:32 am EET,Female,79.0,2nd Year,Economic & Management Sciences,77.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,1,1-3,0,0,Yes,Yes,Close
2024/03/08 9:19:29 am EET,Male,76.0,,Arts & Social Sciences,,,R 4001- R 5000,No,1-3,1,8+,1,0,Yes,Yes,Very close
2024/03/08 9:30:31 am EET,Male,80.0,2nd Year,Science,57.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,1,No,Yes,Close
2024/03/08 9:41:55 am EET,Male,79.0,,Economic & Management Sciences,,,R 6001 - R 7000,No,5-8,3,5-8,2,0,No,Yes,Close
2024/03/08 9:50:48 am EET,Male,67.0,1st Year,Economic & Management Sciences,30.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,4+,8+,4+,4+,No,Yes,Very close
2024/03/08 10:01:13 am EET,Female,76.0,1st Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,2,8+,1,4+,No,Yes,Very close
2024/03/08 10:06:03 am EET,Male,72.0,1st Year,Economic & Management Sciences,65.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,1,8+,0,0,Yes,Yes,Fair
2024/03/08 10:15:05 am EET,Male,73.0,1st Year,Arts & Social Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,No,3-5,2,5-8,1,0,No,Yes,Very close
2024/03/08 10:32:14 am EET,Male,78.0,1st Year,Economic & Management Sciences,83.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,1-3,3,8+,2,0,Yes,Yes,Very close
2024/03/08 10:45:42 am EET,Male,84.0,,Economic & Management Sciences,,Non-private accommodation ie. Res,R 7001 - R 8000,No,5-8,3,8+,4+,0,No,Yes,Very close
2024/03/08 10:52:45 am EET,Male,82.0,1st Year,Engineering,73.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,2,3-5,0,0,No,Yes,Very close
2024/03/08 10:54:38 am EET,Female,75.0,1st Year,Economic & Management Sciences,89.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,5-8,0,3-5,0,0,Yes,Yes,Very close
2024/03/08 11:03:19 am EET,Male,67.0,2nd Year,Economic & Management Sciences,81.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,8+,3,5-8,1,1,No,Yes,Very close
2024/03/08 11:20:55 am EET,Female,78.0,2nd Year,Economic & Management Sciences,71.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,5-8,2,3-5,2,0,No,Yes,Fair
2024/03/08 11:30:52 am EET,Female,79.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,3-5,0,0,Yes,Yes,Very close
2024/03/08 11:46:01 am EET,Female,89.0,2nd Year,Economic & Management Sciences,80.0,Private accommodation/ stay with family/friends,R 8000+,No,3-5,3,3-5,1,0,Yes,Yes,Very close
2024/03/08 12:08:02 pm EET,Female,,1st Year,Economic & Management Sciences,,Non-private accommodation ie. Res,R 4001- R 5000,No,5-8,2,3-5,0,0,Yes,Yes,Very close
2024/03/08 12:28:48 pm EET,Male,73.0,2nd Year,Medicine and Health Services,62.0,Private accommodation/ stay with family/friends,R 4001- R 5000,No,3-5,1,5-8,1,0,No,Yes,Close
2024/03/08 12:54:48 pm EET,Male,85.0,2nd Year,Economic & Management Sciences,58.0,Non-private accommodation ie. Res,R 4001- R 5000,No,8+,1,8+,2,1,No,Yes,Close
2024/03/08 1:07:58 pm EET,Male,72.0,1st Year,Economic & Management Sciences,76.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,0,1,3-5,0,4+,No,Yes,Fair
2024/03/08 1:34:30 pm EET,Female,83.0,2nd Year,Arts & Social Sciences,72.0,Private accommodation/ stay with family/friends,R 6001 - R 7000,No,1-3,1,5-8,2,0,No,Yes,Very close
2024/03/08 2:08:49 pm EET,Male,83.0,2nd Year,Economic & Management Sciences,55.0,Non-private accommodation ie. Res,R 4001- R 5000,No,3-5,2,3-5,2,2,Yes,Yes,Very close
2024/03/08 2:25:01 pm EET,Female,78.0,2nd Year,Economic & Management Sciences,70.0,Private accommodation/ stay with family/friends,R 7001 - R 8000,"Yes (NSFAS, etc...)",1-3,1,3-5,1,1,Yes,Yes,Close
2024/03/08 2:45:33 pm EET,Male,66.0,3rd Year,AgriSciences,61.0,Private accommodation/ stay with family/friends,R 5001 - R 6000,No,1-3,2,8+,1,2,No,Yes,Very close
2024/03/08 3:06:40 pm EET,Male,80.0,1st Year,Science,55.0,Private accommodation/ stay with family/friends,,No,3-5,2,8+,3,1,Yes,Yes,Very close
